make,price,mileage,gear,fuel,hp
"BMW 116 
116I 5P","€ 19,700.-","14,000 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i 5p. Msport","€ 29,490.-","24,400 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i 5p. Advantage 136cv","€ 27,800.-","21,739 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
Serie 1 benzina 5p. M-sport MANUALE","€ 28,800.-","16,000 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i M SPORT LED 18","€ 21,900.-","27,300 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i 140cv","€ 20,370.-","29,913 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
M SPORT LED CRUISE SENS PARK CLIMA TRONIC","€ 18,900.-","28,400 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
116i 5p.","€ 25,590.-",- km,Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i 5p. Advantage *PREZZO PROMO*","€ 23,390.-","23,700 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i 5p. Msport","€ 23,900.-","29,000 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M-SPORT LED NAVI VARI COLORI","€ 26,900.-","19,300 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
M SPORT LED 18"" CRUISE PELLE TOTALE SENS PARK","€ 20,900.-","30,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
RISERVATA REBECCA","€ 10,990.-","26,672 km",Manual,Gasoline,105 kW (143 hp)
"BMW 118 
i M SPORT LED NAVI","€ 21,900.-","27,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i Advantage 5p VARI COLORI","€ 16,900.-","21,300 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i ADVANTAGE BENZINA","€ 21,900.-","9,500 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
118i 5p. Business Advantage","€ 19,900.-","27,761 km",Manual,Gasoline,103 kW (140 hp)
