make,price,mileage,gear,fuel,hp
"BMW 118 
i 1.Hand DigiCockpit Sitzheizung Spurhalteass","€ 24,400.-","21,800 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line Lim. (F40)","€ 27,700.-","12,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Lim SnapperRocks Pano Navi PDC Tempomat LED","€ 25,490.-","3,700 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line DAB LED WLAN Komfortzg. AHK PDC","€ 27,890.-","25,392 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage LC Plus LED DAB Wireless Charge","€ 24,080.-","11,600 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage,Tempo,PDC,SHZ,Sportsitz,16""LM","€ 23,790.-","4,680 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i 5-trg.(F40) Klima.PDC.DAB.SHZ.RDA.MFL.","€ 21,490.-","22,694 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i BMW Live Cockpit+LED+DAB+SHZ Advantage Shz","€ 23,740.-","12,907 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i WINTERREIFEN! Tempomat Sitzheizung DAB Shz","€ 22,980.-","21,350 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage Navi Bluetooth PDC","€ 22,930.-","20,471 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i | Navi Klima Sitzhzg.","€ 25,990.-","9,900 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Advantage,LCProf,LED,PDCv+h,Shz,DAB,M-Lenk.","€ 23,849.-","14,627 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i LED SHZ PDC M Sport DAB Tempomat Shz","€ 24,890.-","28,299 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Klima Sitzh.MultifunkLenkr.DAB ActGuard+18""","€ 21,690.-","21,924 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line Navi Klimaautomatik Sitzheizung","€ 23,860.-","15,543 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Limousine PDCvo+hi.Klimaautomatik.Wireless","€ 22,440.-","24,313 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i 5-Türer [Advantage, Pano, LC+, LED, PDC]","€ 24,490.-","26,100 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage*LED*Garantie*Navi Prof*E6","€ 24,999.-","8,800 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage wenig KM! NEU bei BMW Hofmann","€ 22,890.-","10,699 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
1 118i M Sport Aerodynamik-Paket Navi LiveCock","€ 23,740.-","29,701 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage Navi Prof. Klimaaut. Bluetooth PD","€ 22,860.-","24,011 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Sport Line | Navi LED Sitzheizung PDC HiFi","€ 23,990.-","17,424 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
1 Lim. 118 i Advantage,Klimaa,HIFI,NavigationBui","€ 21,100.-","11,300 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Live Cockpit Plus Klimaautomatik Head-Up PD","€ 23,930.-","28,286 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage |1.Hand|Live Cockpit|LED|Garantie","€ 19,990.-","30,000 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i 5-Türer Navi digitales Cockpit Soundsystem LED S","€ 22,899.-","15,913 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Bestellaktion","€ 26,679.-",5 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i LCProf HUD LED DAB PDC Alarm SHZ Wireless","€ 22,999.-","17,121 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage+PDC+SZH+Live-Cockpit+WLAN+LM+","€ 20,988.-","22,549 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage LED WLAN Tempomat Klimaaut. Shz","€ 21,980.-","24,850 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i 5-Türer Advantage Navi LED LiveCockpitProf","€ 24,340.-","3,600 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Advantage Sportsitze SHZ PDC Comfortp. ASP-Paket","€ 21,777.-","25,000 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i 5-Türer Advantage wenig KM! PDC DAB SH ALU","€ 21,240.-","24,350 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Sport Line,LCPlus,LED,Shz,PDCv+h,WirelessCh","€ 22,799.-","23,600 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Lim. Luxury Line+HUD+LIVE PROF.+LED+PDC","€ 27,390.-","18,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage Navi Bluetooth PDC MP3 Schn.","€ 22,990.-","20,996 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M-SPORTPAKET *5300 KM* I.HAND *RENTNER*","€ 15,990.-","5,300 km",Manual,Gasoline,105 kW (143 hp)
"BMW 118 
i Luxury-Line*Indiv.Leder*Navi*AHK*LED*Sportsitze*","€ 29,950.-","17,300 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i LED Navi HiFi SHZ Klimaauto PDC Advantage","€ 19,245.-","29,900 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage Navi Bluetooth PDC MP3 Schn. Klima","€ 23,840.-","12,564 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Sport Line LED/AppCon/17 Zoll","€ 22,950.-","25,990 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Sport Line LED WLAN Tempomat Klimaaut. Shz","€ 23,439.-","24,900 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i PDC HIFI Lederlenkrad MF Lenkrad","€ 23,840.-","22,150 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i PDC/DAB+/Bluetooth/SHZ PDC/DAB+/Bluetooth/SHZ","€ 19,727.-","24,548 km",Manual,Gasoline,103 kW (140 hp)
